,locations
863,西藏自治区拉萨市达孜县
864,西藏自治区日喀则市日喀则市
865,西藏自治区昌都地区丁青县
866,西藏自治区昌都地区八宿县
867,西藏自治区昌都地区察雅县
868,西藏自治区昌都地区左贡县
869,西藏自治区昌都地区昌都县
870,西藏自治区昌都地区江达县
871,西藏自治区昌都地区洛隆县
872,西藏自治区昌都地区类乌齐县
873,西藏自治区昌都地区芒康县
874,西藏自治区昌都地区贡觉县
875,西藏自治区昌都地区边坝县
876,西藏自治区林芝地区朗县
877,西藏自治区林芝地区林芝县
878,西藏自治区那曲地区嘉黎县
879,西藏自治区那曲地区安多县
880,西藏自治区那曲地区尼玛县
881,西藏自治区那曲地区巴青县
882,西藏自治区那曲地区比如县
883,西藏自治区那曲地区班戈县
884,西藏自治区那曲地区申扎县
885,西藏自治区那曲地区索县
886,西藏自治区那曲地区聂荣县
887,西藏自治区那曲地区那曲县
888,贵州省六盘水市水城县
889,贵州省六盘水市盘县
890,贵州省六盘水市钟山经济开发区
891,贵州省安顺市安顺经济技术开发区
892,贵州省安顺市市辖区
893,贵州省安顺市黄果树旅游区
894,贵州省毕节市毕节金海湖新区
895,贵州省毕节市百里杜鹃管理区
896,贵州省毕节市百里杜鹃风景名胜区
897,贵州省贵安新区直管区
898,贵州省贵阳市市辖区
899,贵州省遵义市市辖区
900,贵州省遵义市播州区
901,贵州省遵义市新蒲新区
902,贵州省遵义市道真县
903,贵州省黔东南州苗族侗族自治丹寨县
904,贵州省黔东南州苗族侗族自治凯里市
905,贵州省黔东南州苗族侗族自治天柱县
906,贵州省黔东南州苗族侗族自治麻江县
907,贵州省黔东南州苗族侗族自治黄平县
908,贵州省黔东南州苗族侗族自治黎平县
909,贵州省黔南布依族苗族自治州都匀经济开发区
910,贵州省黔西南州布依族苗族自义龙试验区
911,贵州省黔西南州布依族苗族自兴义市
912,贵州省黔西南州布依族苗族自晴隆县
913,贵州省黔西南州布依族苗族自望谟县
914,贵州省黔西南布依族苗族自治州义龙试验区
915,贵州省黔西南布依族苗族自治州兴仁县
916,辽宁省丹东市市辖区
917,辽宁省大连市保税区
918,辽宁省大连市市辖区
919,辽宁省大连市普兰店市
920,辽宁省大连市金普新区
921,辽宁省大连市长兴岛经济区
922,辽宁省抚顺市市辖区
923,辽宁省朝阳市市辖区
924,辽宁省本溪市市辖区
925,辽宁省沈阳市市辖区
926,辽宁省沈阳市辽中县
927,辽宁省盘锦市大洼县
928,辽宁省盘锦市市辖区
929,辽宁省营口市市辖区
930,辽宁省葫芦岛市市辖区
931,辽宁省辽阳市市辖区
932,辽宁省铁岭市市辖区
933,辽宁省锦州市市辖区
934,辽宁省锦州市松山新区
935,辽宁省锦州市经济技术开发区
936,辽宁省阜新市市辖区
937,重庆市县开县
938,重庆市县梁平县
939,重庆市县武隆县
940,重庆市市辖区万盛经开区
941,重庆市市辖区两江新区
942,重庆市重庆市两江新区
943,重庆市重庆市彭水县
944,重庆市重庆市石柱县
945,重庆市重庆市秀山县
946,重庆市重庆市酉阳县
947,陕西省咸阳市彬县
948,陕西省安康市高新区
949,陕西省宝鸡市宝鸡市高新区
950,陕西省宝鸡市高新区
951,陕西省延安市子长县
952,陕西省延安市安塞区
953,陕西省杨凌示范区杨陵区
954,陕西省榆林市横山县
955,陕西省榆林市神木县
956,陕西省汉中市南郑县
957,陕西省汉中市汉中经济开发区
958,陕西省渭南市华县
959,陕西省渭南市经济技术开发区
960,陕西省渭南市高新区
961,陕西省西安市户县
962,陕西省西安市沣东新城
963,陕西省西安市沣东新城管委会
964,陕西省西安市西安高新技术开发区
965,陕西省铜川市新区
966,青海省果洛州玛沁县
967,青海省果洛州达日县
968,青海省海东地区乐都县
969,青海省海东地区互助土族自治县
970,青海省海东地区化隆回族自治县
971,青海省海东地区平安县
972,青海省海东地区循化撒拉族自治县
973,青海省海东地区民和回族土族自治县
974,青海省海东市互助县
975,青海省海东市循化县
976,青海省海东市民和县
977,青海省海北州海晏县
978,青海省海北州祁连县
979,青海省海南州共和县
980,青海省海南州兴海县
981,青海省海南州同德县
982,青海省海西蒙古族藏族自治州冷湖行委
983,青海省海西蒙古族藏族自治州大柴旦行委
984,青海省海西蒙古族藏族自治州茫崖行委
985,青海省玉树州玉树市
986,青海省玉树藏族自治州玉树县
987,青海省西宁市大通县
988,青海省西宁市湟中县
989,青海省黄南州同仁县
990,青海省黄南州河南县
991,香港nullnull
992,黑龙江省七台河市市辖区
993,黑龙江省伊春市市辖区
994,黑龙江省佳木斯市市辖区
995,黑龙江省佳木斯市抚远县
996,黑龙江省农垦总局九三管理局
997,黑龙江省农垦总局北安管理局
998,黑龙江省农垦总局哈尔滨管理局
999,黑龙江省农垦总局宝泉岭管理局
1000,黑龙江省农垦总局建三江管理局
1001,黑龙江省农垦总局牡丹江管理局
1002,黑龙江省农垦总局红兴隆管理局
1003,黑龙江省双鸭山市市辖区
1004,黑龙江省哈尔滨市市辖区
1005,黑龙江省大兴安岭地区加格达奇区
1006,黑龙江省大兴安岭地区呼中区
1007,黑龙江省大兴安岭地区新林区
1008,黑龙江省大兴安岭地区松岭区
1009,黑龙江省大兴安岭地区漠河县
1010,黑龙江省大庆市大庆市直属机关
1011,黑龙江省大庆市大庆油田有限责任公司
1012,黑龙江省大庆市大庆石化公司
1013,黑龙江省大庆市大庆高新技术产业开发区管理委员会
1014,黑龙江省大庆市市辖区
1015,黑龙江省抚远市抚远市
1016,黑龙江省森工总局合江林业管理局
1017,黑龙江省森工总局松花江林业管理局
1018,黑龙江省森工总局松花江管理局
1019,黑龙江省牡丹江市东宁县
1020,黑龙江省牡丹江市市辖区
1021,黑龙江省牡丹江市牡丹江经济开发区
1022,黑龙江省绥化市市辖区
1023,黑龙江省绥芬河市绥芬河市
1024,黑龙江省鸡西市市辖区
1025,黑龙江省鹤岗市市辖区
1026,黑龙江省黑河市嫩江县
1027,黑龙江省黑河市市辖区
1028,黑龙江省黑河市风景区
1029,黑龙江省齐齐哈尔市市辖区
